match_id,matchup_id,game_number,competitor,repetition,checkpoint_path,seat,points,pudding,opponent_competitor,opponent_repetition,opponent_points,opponent_pudding,opponent_competitors,opponent_repetitions,opponent_points_all,opponent_puddings,outcome
match_000062,matchup_0001,62,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,1,66,3,variable_2_4,1,59,3,variable_2_4,1,59,3,win
match_000063,matchup_0001,63,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,0,54,3,variable_2_4,1,53,1,variable_2_4,1,53,1,win
match_000063,matchup_0001,63,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,1,53,1,fixed_2p,1,54,3,fixed_2p,1,54,3,loss
match_000064,matchup_0001,64,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,0,57,0,fixed_2p,1,52,5,fixed_2p,1,52,5,win
match_000064,matchup_0001,64,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,1,52,5,variable_2_4,1,57,0,variable_2_4,1,57,0,loss
match_000065,matchup_0001,65,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,0,51,2,fixed_2p,1,57,4,fixed_2p,1,57,4,loss
match_000065,matchup_0001,65,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,1,57,4,variable_2_4,1,51,2,variable_2_4,1,51,2,win
match_000066,matchup_0001,66,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,0,41,5,variable_2_4,1,47,2,variable_2_4,1,47,2,loss
match_000066,matchup_0001,66,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,1,47,2,fixed_2p,1,41,5,fixed_2p,1,41,5,win
match_000067,matchup_0001,67,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,0,64,0,fixed_2p,1,67,2,fixed_2p,1,67,2,loss
match_000067,matchup_0001,67,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,1,67,2,variable_2_4,1,64,0,variable_2_4,1,64,0,win
match_000068,matchup_0001,68,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,0,60,2,fixed_2p,1,70,5,fixed_2p,1,70,5,loss
match_000068,matchup_0001,68,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,1,70,5,variable_2_4,1,60,2,variable_2_4,1,60,2,win
