device=cuda  n_players=[2, 4]  model=MLP+DQN  total_frames=25000000
cli_args={"batch_size": 512, "buffer_size": 100000, "compile": false, "cuda": true, "encoder_flat_cells": 128, "encoder_flat_depth": 1, "encoder_flat_embed_dim": 64, "encoder_mix_cells": 128, "encoder_mix_depth": 1, "encoder_output_dim": 128, "encoder_q_cells": 128, "encoder_q_depth": 1, "encoder_sequential_depth": 2, "encoder_sequential_dropout": 0.0, "encoder_sequential_embed_dim": 64, "encoder_sequential_ff_dim": 128, "encoder_sequential_head_dim": 16, "encoder_sequential_num_heads": 4, "frames_per_batch": 5000, "gamma": 0.99, "iterations": 5000, "lr": 0.00025, "max_grad_norm": 10.0, "max_n_players": 4, "min_n_players": 2, "mlp_cells": 447, "mlp_depth": 2, "n_players": null, "reward_scale": 0.1, "save_path": "models/DQN/sushi_go_qnet_large_2-4_players.pt", "smoke": false, "target_eps": 0.995, "updates_per_batch": 16, "use_encoder": false}
[92m2026-06-07 18:53:21,717 [torchrl][INFO][0m    check_env_specs succeeded![92m [END][0m
[92m2026-06-07 18:53:56,925 [torchrl][INFO][0m    Initialized LazyTensorStorage with torch.Size([100000]) shape[92m [END][0m
iter 102 | loss=0.0424 | eps=0.969 | mean turn reward=+0.131 | mean episode return/seat=+3.43
iter 103 | loss=0.0381 | eps=0.969 | mean turn reward=+0.132 | mean episode return/seat=+3.48
iter 104 | loss=0.0435 | eps=0.969 | mean turn reward=+0.130 | mean episode return/seat=+3.40
iter 105 | loss=0.0386 | eps=0.968 | mean turn reward=+0.132 | mean episode return/seat=+3.50
iter 106 | loss=0.0420 | eps=0.968 | mean turn reward=+0.130 | mean episode return/seat=+3.42
iter 107 | loss=0.0383 | eps=0.968 | mean turn reward=+0.132 | mean episode return/seat=+3.51
iter 108 | loss=0.0377 | eps=0.968 | mean turn reward=+0.131 | mean episode return/seat=+3.46
iter 109 | loss=0.0402 | eps=0.967 | mean turn reward=+0.128 | mean episode return/seat=+3.32
iter 110 | loss=0.0433 | eps=0.967 | mean turn reward=+0.133 | mean episode return/seat=+3.55
iter 111 | loss=0.0388 | eps=0.967 | mean turn reward=+0.131 | mean episode return/seat=+3.47
iter 112 | loss=0.0429 | eps=0.966 | mean turn reward=+0.129 | mean episode return/seat=+3.41
iter 113 | loss=0.0407 | eps=0.966 | mean turn reward=+0.132 | mean episode return/seat=+3.50
iter 114 | loss=0.0376 | eps=0.966 | mean turn reward=+0.131 | mean episode return/seat=+3.44
iter 115 | loss=0.0373 | eps=0.965 | mean turn reward=+0.132 | mean episode return/seat=+3.49
iter 116 | loss=0.0373 | eps=0.965 | mean turn reward=+0.132 | mean episode return/seat=+3.47
iter 117 | loss=0.0392 | eps=0.965 | mean turn reward=+0.129 | mean episode return/seat=+3.38
iter 118 | loss=0.0386 | eps=0.965 | mean turn reward=+0.132 | mean episode return/seat=+3.46
iter 119 | loss=0.0390 | eps=0.964 | mean turn reward=+0.130 | mean episode return/seat=+3.43
iter 120 | loss=0.0395 | eps=0.964 | mean turn reward=+0.130 | mean episode return/seat=+3.42
iter 121 | loss=0.0371 | eps=0.964 | mean turn reward=+0.130 | mean episode return/seat=+3.43
iter 122 | loss=0.0393 | eps=0.963 | mean turn reward=+0.133 | mean episode return/seat=+3.53
iter 123 | loss=0.0408 | eps=0.963 | mean turn reward=+0.131 | mean episode return/seat=+3.43
iter 124 | loss=0.0380 | eps=0.963 | mean turn reward=+0.132 | mean episode return/seat=+3.50
iter 125 | loss=0.0391 | eps=0.962 | mean turn reward=+0.129 | mean episode return/seat=+3.40
iter 126 | loss=0.0363 | eps=0.962 | mean turn reward=+0.131 | mean episode return/seat=+3.47
iter 127 | loss=0.0377 | eps=0.962 | mean turn reward=+0.132 | mean episode return/seat=+3.50
iter 128 | loss=0.0366 | eps=0.962 | mean turn reward=+0.132 | mean episode return/seat=+3.52
iter 129 | loss=0.0385 | eps=0.961 | mean turn reward=+0.129 | mean episode return/seat=+3.37
iter 130 | loss=0.0348 | eps=0.961 | mean turn reward=+0.131 | mean episode return/seat=+3.46
iter 131 | loss=0.0371 | eps=0.961 | mean turn reward=+0.131 | mean episode return/seat=+3.48
iter 132 | loss=0.0372 | eps=0.960 | mean turn reward=+0.130 | mean episode return/seat=+3.43
iter 133 | loss=0.0358 | eps=0.960 | mean turn reward=+0.130 | mean episode return/seat=+3.43
iter 134 | loss=0.0368 | eps=0.960 | mean turn reward=+0.131 | mean episode return/seat=+3.44
iter 135 | loss=0.0381 | eps=0.959 | mean turn reward=+0.131 | mean episode return/seat=+3.45
iter 136 | loss=0.0342 | eps=0.959 | mean turn reward=+0.131 | mean episode return/seat=+3.47
iter 137 | loss=0.0386 | eps=0.959 | mean turn reward=+0.133 | mean episode return/seat=+3.52
iter 138 | loss=0.0358 | eps=0.959 | mean turn reward=+0.129 | mean episode return/seat=+3.40
iter 139 | loss=0.0354 | eps=0.958 | mean turn reward=+0.130 | mean episode return/seat=+3.38
iter 140 | loss=0.0371 | eps=0.958 | mean turn reward=+0.131 | mean episode return/seat=+3.42
iter 141 | loss=0.0377 | eps=0.958 | mean turn reward=+0.130 | mean episode return/seat=+3.41
iter 142 | loss=0.0390 | eps=0.957 | mean turn reward=+0.131 | mean episode return/seat=+3.44
