device=cpu  n_players=[2, 4]  model=MLP+DQN  total_frames=25000000
cli_args={"batch_size": 256, "buffer_size": 100000, "compile": false, "cuda": false, "encoder_flat_cells": 128, "encoder_flat_depth": 1, "encoder_flat_embed_dim": 64, "encoder_mix_cells": 128, "encoder_mix_depth": 1, "encoder_output_dim": 128, "encoder_q_cells": 128, "encoder_q_depth": 1, "encoder_sequential_depth": 2, "encoder_sequential_dropout": 0.0, "encoder_sequential_embed_dim": 64, "encoder_sequential_ff_dim": 128, "encoder_sequential_head_dim": 16, "encoder_sequential_num_heads": 4, "frames_per_batch": 5000, "gamma": 0.99, "iterations": 5000, "log_path": "/SushiGo/results/league/variable_2_4/repetition_1/metrics.csv", "lr": 0.00025, "max_grad_norm": 10.0, "max_n_players": 4, "min_n_players": 2, "mlp_cells": 128, "mlp_depth": 3, "n_players": null, "num_workers": 16, "reward_scale": 0.1, "save_path": "/SushiGo/results/league/variable_2_4/repetition_1/model.pt", "smoke": false, "target_eps": 0.995, "updates_per_batch": 8, "use_encoder": false}
[92m2026-06-14 18:40:26,889 [torchrl][INFO][0m    check_env_specs succeeded![92m [END][0m
[92m2026-06-14 18:40:30,002 [torchrl][INFO][0m    Initialized LazyTensorStorage with torch.Size([100000]) shape[92m [END][0m
iter 86/5000 ( 1.72%) | elapsed=1m 30s | eta=1h 25m 42s | loss=0.0479 | eps=0.974 | mean turn reward=+0.126 | mean episode return/seat=+3.31
iter 87/5000 ( 1.74%) | elapsed=1m 31s | eta=1h 25m 44s | loss=0.0577 | eps=0.974 | mean turn reward=+0.132 | mean episode return/seat=+3.48
iter 88/5000 ( 1.76%) | elapsed=1m 32s | eta=1h 25m 39s | loss=0.0574 | eps=0.974 | mean turn reward=+0.129 | mean episode return/seat=+3.41
iter 89/5000 ( 1.78%) | elapsed=1m 33s | eta=1h 25m 35s | loss=0.0521 | eps=0.973 | mean turn reward=+0.132 | mean episode return/seat=+3.47
iter 90/5000 ( 1.80%) | elapsed=1m 34s | eta=1h 25m 31s | loss=0.0441 | eps=0.973 | mean turn reward=+0.127 | mean episode return/seat=+3.32
iter 91/5000 ( 1.82%) | elapsed=1m 35s | eta=1h 25m 27s | loss=0.0604 | eps=0.973 | mean turn reward=+0.129 | mean episode return/seat=+3.40
iter 92/5000 ( 1.84%) | elapsed=1m 36s | eta=1h 25m 29s | loss=0.0575 | eps=0.973 | mean turn reward=+0.131 | mean episode return/seat=+3.46
iter 93/5000 ( 1.86%) | elapsed=1m 37s | eta=1h 25m 31s | loss=0.0568 | eps=0.972 | mean turn reward=+0.130 | mean episode return/seat=+3.39
iter 94/5000 ( 1.88%) | elapsed=1m 38s | eta=1h 25m 26s | loss=0.0563 | eps=0.972 | mean turn reward=+0.131 | mean episode return/seat=+3.49
iter 95/5000 ( 1.90%) | elapsed=1m 39s | eta=1h 25m 21s | loss=0.0557 | eps=0.972 | mean turn reward=+0.130 | mean episode return/seat=+3.43
iter 96/5000 ( 1.92%) | elapsed=1m 40s | eta=1h 25m 15s | loss=0.0484 | eps=0.971 | mean turn reward=+0.127 | mean episode return/seat=+3.35
iter 97/5000 ( 1.94%) | elapsed=1m 41s | eta=1h 25m 11s | loss=0.0536 | eps=0.971 | mean turn reward=+0.129 | mean episode return/seat=+3.36
iter 98/5000 ( 1.96%) | elapsed=1m 42s | eta=1h 25m 14s | loss=0.0501 | eps=0.971 | mean turn reward=+0.128 | mean episode return/seat=+3.36
iter 99/5000 ( 1.98%) | elapsed=1m 43s | eta=1h 25m 17s | loss=0.0586 | eps=0.970 | mean turn reward=+0.131 | mean episode return/seat=+3.45
iter 100/5000 ( 2.00%) | elapsed=1m 44s | eta=1h 25m 11s | loss=0.0497 | eps=0.970 | mean turn reward=+0.128 | mean episode return/seat=+3.34
iter 101/5000 ( 2.02%) | elapsed=1m 45s | eta=1h 25m 07s | loss=0.0535 | eps=0.970 | mean turn reward=+0.129 | mean episode return/seat=+3.40
iter 102/5000 ( 2.04%) | elapsed=1m 46s | eta=1h 25m 03s | loss=0.0570 | eps=0.970 | mean turn reward=+0.131 | mean episode return/seat=+3.45
iter 103/5000 ( 2.06%) | elapsed=1m 47s | eta=1h 24m 59s | loss=0.0534 | eps=0.969 | mean turn reward=+0.130 | mean episode return/seat=+3.42
iter 104/5000 ( 2.08%) | elapsed=1m 48s | eta=1h 24m 55s | loss=0.0482 | eps=0.969 | mean turn reward=+0.130 | mean episode return/seat=+3.41
iter 105/5000 ( 2.10%) | elapsed=1m 49s | eta=1h 24m 57s | loss=0.0453 | eps=0.969 | mean turn reward=+0.131 | mean episode return/seat=+3.49
iter 106/5000 ( 2.12%) | elapsed=1m 50s | eta=1h 24m 58s | loss=0.0516 | eps=0.968 | mean turn reward=+0.132 | mean episode return/seat=+3.52
iter 107/5000 ( 2.14%) | elapsed=1m 51s | eta=1h 24m 54s | loss=0.0489 | eps=0.968 | mean turn reward=+0.128 | mean episode return/seat=+3.36
iter 108/5000 ( 2.16%) | elapsed=1m 52s | eta=1h 24m 50s | loss=0.0474 | eps=0.968 | mean turn reward=+0.131 | mean episode return/seat=+3.46
iter 109/5000 ( 2.18%) | elapsed=1m 53s | eta=1h 24m 46s | loss=0.0562 | eps=0.968 | mean turn reward=+0.129 | mean episode return/seat=+3.44
iter 110/5000 ( 2.20%) | elapsed=1m 54s | eta=1h 24m 42s | loss=0.0468 | eps=0.967 | mean turn reward=+0.129 | mean episode return/seat=+3.38
iter 111/5000 ( 2.22%) | elapsed=1m 55s | eta=1h 24m 42s | loss=0.0566 | eps=0.967 | mean turn reward=+0.128 | mean episode return/seat=+3.35
iter 112/5000 ( 2.24%) | elapsed=1m 56s | eta=1h 24m 45s | loss=0.0519 | eps=0.967 | mean turn reward=+0.128 | mean episode return/seat=+3.38
iter 113/5000 ( 2.26%) | elapsed=1m 57s | eta=1h 24m 42s | loss=0.0631 | eps=0.966 | mean turn reward=+0.128 | mean episode return/seat=+3.38
iter 114/5000 ( 2.28%) | elapsed=1m 58s | eta=1h 24m 38s | loss=0.0573 | eps=0.966 | mean turn reward=+0.129 | mean episode return/seat=+3.37
iter 115/5000 ( 2.30%) | elapsed=1m 59s | eta=1h 24m 34s | loss=0.0525 | eps=0.966 | mean turn reward=+0.130 | mean episode return/seat=+3.46
iter 116/5000 ( 2.32%) | elapsed=2m 00s | eta=1h 24m 30s | loss=0.0477 | eps=0.965 | mean turn reward=+0.127 | mean episode return/seat=+3.30
iter 117/5000 ( 2.34%) | elapsed=2m 01s | eta=1h 24m 27s | loss=0.0557 | eps=0.965 | mean turn reward=+0.131 | mean episode return/seat=+3.47
iter 118/5000 ( 2.36%) | elapsed=2m 02s | eta=1h 24m 30s | loss=0.0512 | eps=0.965 | mean turn reward=+0.128 | mean episode return/seat=+3.33
iter 119/5000 ( 2.38%) | elapsed=2m 03s | eta=1h 24m 30s | loss=0.0629 | eps=0.965 | mean turn reward=+0.131 | mean episode return/seat=+3.45
iter 120/5000 ( 2.40%) | elapsed=2m 04s | eta=1h 24m 28s | loss=0.0595 | eps=0.964 | mean turn reward=+0.130 | mean episode return/seat=+3.44
iter 121/5000 ( 2.42%) | elapsed=2m 05s | eta=1h 24m 25s | loss=0.0518 | eps=0.964 | mean turn reward=+0.128 | mean episode return/seat=+3.36
iter 122/5000 ( 2.44%) | elapsed=2m 06s | eta=1h 24m 23s | loss=0.0553 | eps=0.964 | mean turn reward=+0.132 | mean episode return/seat=+3.52
iter 123/5000 ( 2.46%) | elapsed=2m 07s | eta=1h 24m 21s | loss=0.0533 | eps=0.963 | mean turn reward=+0.134 | mean episode return/seat=+3.55
iter 124/5000 ( 2.48%) | elapsed=2m 08s | eta=1h 24m 24s | loss=0.0528 | eps=0.963 | mean turn reward=+0.131 | mean episode return/seat=+3.47
iter 125/5000 ( 2.50%) | elapsed=2m 09s | eta=1h 24m 25s | loss=0.0533 | eps=0.963 | mean turn reward=+0.133 | mean episode return/seat=+3.49
iter 126/5000 ( 2.52%) | elapsed=2m 10s | eta=1h 24m 22s | loss=0.0456 | eps=0.962 | mean turn reward=+0.130 | mean episode return/seat=+3.43
iter 127/5000 ( 2.54%) | elapsed=2m 11s | eta=1h 24m 20s | loss=0.0528 | eps=0.962 | mean turn reward=+0.129 | mean episode return/seat=+3.40
iter 128/5000 ( 2.56%) | elapsed=2m 12s | eta=1h 24m 17s | loss=0.0477 | eps=0.962 | mean turn reward=+0.131 | mean episode return/seat=+3.50
iter 129/5000 ( 2.58%) | elapsed=2m 13s | eta=1h 24m 14s | loss=0.0448 | eps=0.962 | mean turn reward=+0.130 | mean episode return/seat=+3.40
iter 130/5000 ( 2.60%) | elapsed=2m 14s | eta=1h 24m 11s | loss=0.0475 | eps=0.961 | mean turn reward=+0.133 | mean episode return/seat=+3.53
iter 131/5000 ( 2.62%) | elapsed=2m 15s | eta=1h 24m 13s | loss=0.0449 | eps=0.961 | mean turn reward=+0.128 | mean episode return/seat=+3.36
iter 132/5000 ( 2.64%) | elapsed=2m 17s | eta=1h 24m 13s | loss=0.0432 | eps=0.961 | mean turn reward=+0.131 | mean episode return/seat=+3.47
iter 133/5000 ( 2.66%) | elapsed=2m 18s | eta=1h 24m 10s | loss=0.0542 | eps=0.960 | mean turn reward=+0.129 | mean episode return/seat=+3.38
iter 134/5000 ( 2.68%) | elapsed=2m 19s | eta=1h 24m 07s | loss=0.0443 | eps=0.960 | mean turn reward=+0.129 | mean episode return/seat=+3.41
iter 135/5000 ( 2.70%) | elapsed=2m 19s | eta=1h 24m 05s | loss=0.0634 | eps=0.960 | mean turn reward=+0.129 | mean episode return/seat=+3.38
iter 136/5000 ( 2.72%) | elapsed=2m 20s | eta=1h 24m 01s | loss=0.0511 | eps=0.959 | mean turn reward=+0.130 | mean episode return/seat=+3.37
iter 137/5000 ( 2.74%) | elapsed=2m 22s | eta=1h 24m 04s | loss=0.0505 | eps=0.959 | mean turn reward=+0.131 | mean episode return/seat=+3.43
iter 138/5000 ( 2.76%) | elapsed=2m 23s | eta=1h 24m 04s | loss=0.0441 | eps=0.959 | mean turn reward=+0.129 | mean episode return/seat=+3.38
iter 139/5000 ( 2.78%) | elapsed=2m 24s | eta=1h 24m 00s | loss=0.0443 | eps=0.959 | mean turn reward=+0.131 | mean episode return/seat=+3.46
iter 140/5000 ( 2.80%) | elapsed=2m 25s | eta=1h 23m 58s | loss=0.0526 | eps=0.958 | mean turn reward=+0.129 | mean episode return/seat=+3.36
iter 141/5000 ( 2.82%) | elapsed=2m 26s | eta=1h 23m 54s | loss=0.0510 | eps=0.958 | mean turn reward=+0.130 | mean episode return/seat=+3.44
iter 142/5000 ( 2.84%) | elapsed=2m 27s | eta=1h 23m 52s | loss=0.0609 | eps=0.958 | mean turn reward=+0.133 | mean episode return/seat=+3.53
iter 143/5000 ( 2.86%) | elapsed=2m 28s | eta=1h 23m 53s | loss=0.0608 | eps=0.957 | mean turn reward=+0.130 | mean episode return/seat=+3.37
iter 144/5000 ( 2.88%) | elapsed=2m 29s | eta=1h 23m 53s | loss=0.0498 | eps=0.957 | mean turn reward=+0.130 | mean episode return/seat=+3.39
iter 145/5000 ( 2.90%) | elapsed=2m 30s | eta=1h 23m 51s | loss=0.0586 | eps=0.957 | mean turn reward=+0.131 | mean episode return/seat=+3.46
