match_id,matchup_id,game_number,competitor,repetition,checkpoint_path,seat,points,pudding,opponent_competitor,opponent_repetition,opponent_points,opponent_pudding,opponent_competitors,opponent_repetitions,opponent_points_all,opponent_puddings,outcome
match_000031,matchup_0001,31,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,1,53,0,fixed_2p,1,52,6,fixed_2p,1,52,6,win
match_000032,matchup_0001,32,fixed_2p,1,/home/thlamz/SushiGo_MARL/results/league/fixed_2p/repetition_1/model.pt,0,59,1,variable_2_4,1,61,4,variable_2_4,1,61,4,loss
match_000032,matchup_0001,32,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,1,61,4,fixed_2p,1,59,1,fixed_2p,1,59,1,win
match_000033,matchup_0001,33,fixed_2p,1,/home/thlamz/SushiGo_MARL/results/league/fixed_2p/repetition_1/model.pt,0,62,2,variable_2_4,1,55,3,variable_2_4,1,55,3,win
match_000033,matchup_0001,33,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,1,55,3,fixed_2p,1,62,2,fixed_2p,1,62,2,loss
match_000034,matchup_0001,34,fixed_2p,1,/home/thlamz/SushiGo_MARL/results/league/fixed_2p/repetition_1/model.pt,0,62,3,variable_2_4,1,70,1,variable_2_4,1,70,1,loss
match_000034,matchup_0001,34,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,1,70,1,fixed_2p,1,62,3,fixed_2p,1,62,3,win
match_000035,matchup_0001,35,fixed_2p,1,/home/thlamz/SushiGo_MARL/results/league/fixed_2p/repetition_1/model.pt,0,55,4,variable_2_4,1,46,2,variable_2_4,1,46,2,win
match_000035,matchup_0001,35,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,1,46,2,fixed_2p,1,55,4,fixed_2p,1,55,4,loss
match_000036,matchup_0001,36,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,0,53,1,fixed_2p,1,47,4,fixed_2p,1,47,4,win
match_000036,matchup_0001,36,fixed_2p,1,/home/thlamz/SushiGo_MARL/results/league/fixed_2p/repetition_1/model.pt,1,47,4,variable_2_4,1,53,1,variable_2_4,1,53,1,loss
match_000037,matchup_0001,37,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,0,51,2,fixed_2p,1,51,3,fixed_2p,1,51,3,loss
match_000037,matchup_0001,37,fixed_2p,1,/home/thlamz/SushiGo_MARL/results/league/fixed_2p/repetition_1/model.pt,1,51,3,variable_2_4,1,51,2,variable_2_4,1,51,2,win
match_000038,matchup_0001,38,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,0,39,2,fixed_2p,1,39,5,fixed_2p,1,39,5,loss
